Database,Execution_1,Execution_2,Execution_3,Execution_4,Execution_5,Execution_6,Execution_7,Execution_8
nosql_astradb (astradb),1.123,0.9789,1.0812,0.7006,1.1271,1.2018,1.0687,1.0322
nosql_harper (harperdb),0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
nosql_influxdb (influxdb),1.4689,1.3918,1.3306,1.3374,1.4222,1.4731,1.435,1.4328
nosql_milvus (milvus),1.598,1.9046,1.5271,1.5642,1.6618,1.6354,1.5268,1.6129
nosql_mongodb (mongodb),0.943,0.3961,0.4474,0.4724,0.3674,0.6926,0.387,0.5092
nosql_neo4j (neo4j),0.0005,0.0011,0.0005,0.0,0.0005,0.0,0.001,0.0017
nosql_qdrant (qdrant),1.4517,1.4743,1.4773,1.4769,1.5098,1.5661,1.3683,0.9174
sql_aiven (mysql),1.1592,0.7415,1.1095,1.2228,1.4724,0.7492,0.7683,0.5631
sql_cratedb (cratedb),1.1053,1.2045,0.9315,1.4385,0.938,1.5902,0.4907,1.1899
sql_koyeb (postgres),0.989,1.051,1.2329,1.5786,1.5925,1.0567,1.707,1.5968
sql_mariadb (mariadb),0.4547,0.9743,0.6046,1.4382,0.7529,1.2004,1.3915,1.1278
sql_neon (postgres),1.1419,1.408,2.0395,2.8132,2.0867,2.3191,2.3769,1.4942
sql_supabase (postgres),0.4854,0.6504,1.1383,0.5674,0.6494,1.1783,0.5363,0.7576
sql_tidb (tidb),1.6307,1.7063,1.7049,1.4578,2.3082,1.3886,1.0542,1.8591
sql_tiger (postgres),1.0881,1.0124,1.693,0.8856,0.9127,1.5386,1.366,1.1774
sql_yugabyte (postgres),1.0749,0.3262,0.3373,0.8051,0.8771,0.5919,0.5378,1.1924
