Database,Execution_1,Execution_2,Execution_3,Execution_4,Execution_5,Execution_6,Execution_7,Execution_8,Execution_9,Execution_10,Execution_11,Execution_12,Execution_13,Execution_14,Execution_15,Execution_16,Execution_17,Execution_18
nosql_astradb (astradb),1.0245,2.7601,0.6125,1.7584,0.9477,2.3562,0.57,1.7877,0.4105,1.4414,0.8025,,0.9983,2.9669,0.8969,2.5803,0.9536,
nosql_harper (harperdb),0.0,1.5162,0.0,0.9978,0.0,1.2328,0.0,0.995,0.0,0.6646,0.0,1.3939,0.0,1.6324,0.0,1.259,0.0,1.3102
nosql_influxdb (influxdb),1.3284,1.3863,0.9322,0.8374,1.3257,1.2553,0.8646,0.9231,0.6072,0.6361,1.1723,1.3708,1.4863,1.3753,1.2221,1.2906,1.3144,1.3589
nosql_milvus (milvus),1.4579,1.4068,1.0291,0.9605,1.0425,1.0846,1.0866,0.8966,0.8421,0.8522,1.6281,1.3585,1.5247,1.4798,1.2032,1.4218,1.2503,0.9039
nosql_mongodb (mongodb),0.4405,1.3657,0.2886,1.3012,0.3243,1.3036,0.3539,1.4011,0.2634,1.2903,0.3256,1.3937,0.6317,1.3697,0.3729,1.3165,0.3589,1.3634
nosql_neo4j (neo4j),0.0005,8.4399,0.0104,9.2772,0.0012,6.7292,0.0,9.2533,0.0005,5.3278,0.0248,,0.0,9.8466,0.0,9.1057,0.0005,
nosql_qdrant (qdrant),1.3208,1.7994,0.998,1.6918,1.2462,1.6971,0.9881,1.3716,0.608,0.9269,1.1931,1.637,1.5742,1.7628,1.1091,1.5697,1.1639,1.8178
sql_aiven (mysql),0.6196,8.0942,0.4712,7.5741,0.629,5.9924,0.9417,8.0735,0.3972,4.7984,0.8034,6.7318,0.5122,8.1493,1.1053,8.0711,0.5547,8.1041
sql_cratedb (cratedb),0.6536,25.1541,0.9653,24.8356,0.6888,25.2432,0.654,25.0124,0.5846,16.2355,0.6103,19.0474,0.9488,25.4353,1.1445,24.639,0.9408,24.3104
sql_koyeb (postgres),0.5408,23.8483,1.2692,19.6605,1.1873,20.6,0.9655,24.6122,0.84,13.7234,4.5334,18.4665,1.04,23.5283,1.4881,24.7738,1.8367,21.7973
sql_mariadb (mariadb),0.7716,8.3325,0.4722,7.7417,0.4136,6.3134,0.6917,8.3252,0.4643,5.4271,35.7135,8.2854,0.4769,6.7314,0.6796,8.3272,,
sql_neon (postgres),1.0402,24.704,1.6763,20.8472,1.2612,21.0892,1.4174,25.2154,1.5125,14.328,2.289,22.3201,1.6157,19.8267,2.0004,26.8729,2.5423,19.2289
sql_supabase (postgres),0.6056,21.2354,0.412,15.6812,0.6496,23.3562,0.7074,23.1818,0.3945,12.6054,,,0.8627,22.3919,0.6909,23.9971,0.9338,16.4509
sql_tidb (tidb),0.7704,8.4336,0.5546,5.5476,0.5637,6.7406,1.5431,8.28,0.5896,4.7411,1.1879,5.3497,0.779,7.841,1.445,7.736,1.4191,6.2364
sql_tiger (postgres),0.8168,31.5834,0.8774,31.5377,0.7984,32.92,1.0231,31.4582,0.8191,30.782,,,1.4143,31.2519,0.9,33.7295,0.8628,31.8249
sql_yugabyte (postgres),0.9314,23.2295,0.4895,20.8563,0.3552,14.5198,0.474,22.7676,0.3321,11.527,0.4631,15.5947,0.944,21.0206,0.3465,22.6022,0.3753,14.7401
